Kana	Recording	Romaji	Show Romaji by Default	Writing Tip	Writing Tip Illustration	Tags
ノ	[sound:7biey7947yx7iz074op63ck7x_no.mp3]	no		<i>No</i> is easy to remember because &ldquo;no&rdquo; other lines attach to it.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_no.png"">"	katakana gojuon seion n_series
ハ	[sound:7biey7947yx7iz074op63ck7x_ha.mp3]	ha		Don&rsquo;t let these strokes connect at the top.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ha.png"">"	katakana gojuon seion h_series
ヒ	[sound:7biey7947yx7iz074op63ck7x_hi.mp3]	hi		Make sure that second stroke forms a solid 90-degree elbow in <i>hi</i>.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_hi.png"">"	katakana gojuon seion h_series
フ	[sound:7biey7947yx7iz074op63ck7x_fu.mp3]	fu		"It&rsquo;s important with <i>fu</i> that you don&rsquo;t make the curved part straight. In other words, don&rsquo;t make it look like a 7. It also helps to keep it slightly wider than it is tall."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_fu.png"">"	katakana gojuon seion h_series f_series
ヘ	[sound:7biey7947yx7iz074op63ck7x_he.mp3]	he		Write this exactly as its cousin.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_he.png"">"	katakana gojuon seion h_series
ホ	[sound:7biey7947yx7iz074op63ck7x_ho.mp3]	ho		"If you learn anything from my notes on the two syllabaries, I hope it&rsquo;s that you should always be sure to include <i>hane</i> in characters that use them. Here we find a beautiful example at the end of stroke two."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ho.png"">"	katakana gojuon seion h_series
マ	[sound:7biey7947yx7iz074op63ck7x_ma.mp3]	ma		"When I was learning this syllabary, it helped me to write <i>ma</i> correctly if I imagined it as a triangular flag on a stick, leaning back at a 45-degree angle."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ma.png"">"	katakana gojuon seion m_series
ミ	[sound:7biey7947yx7iz074op63ck7x_mi.mp3]	mi		"This character might make more sense after you learn another way to say the number three: <i>mittsu</i>. Just as <i>ni</i> is composed of &ldquo;two&rdquo; lines, <i>mi</i> is composed of &ldquo;three.&rdquo;"	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_mi.png"">"	katakana gojuon seion m_series
ム	[sound:7biey7947yx7iz074op63ck7x_mu.mp3]	mu		It&rsquo;s hard to go wrong with <i>mu</i>. Just keep that first stroke to about a 45-degree angle and it&rsquo;ll look great.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_mu.png"">"	katakana gojuon seion m_series
メ	[sound:7biey7947yx7iz074op63ck7x_me.mp3]	me		"This one is nice and easy. Just be sure to get that gentle ""katakana curve"" in, and make the strokes different lengths so it doesn&rsquo;t look like an X, and you&rsquo;ll be fine."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_me.png"">"	katakana gojuon seion m_series
モ	[sound:7biey7947yx7iz074op63ck7x_mo.mp3]	mo		"<i>Mo</i> also looks a lot like its cousin. Notice, however, that the stroke order is different. (In the hiragana <i>mo</i>, the vertical line comes first.)"	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_mo.png"">"	katakana gojuon seion m_series
ヤ	[sound:7biey7947yx7iz074op63ck7x_ya.mp3]	ya		"This character looks just like its cousin, except it&rsquo;s more angular and it&rsquo;s missing a stroke. Notice that what used to be an open curve at the end of the first stroke has been reduced to a <i>hane</i>."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ya.png"">"	katakana gojuon seion y_series
ユ	[sound:7biey7947yx7iz074op63ck7x_yu.mp3]	yu		"Above all else, make sure that the vertical portion of the first stroke in <i>yu</i> goes straight down or veers a little to the left. It should not go to the right."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_yu.png"">"	katakana gojuon seion y_series
ヨ	[sound:7biey7947yx7iz074op63ck7x_yo.mp3]	yo		It&rsquo;s a backwards &ldquo;E.&rdquo; That&rsquo;s all it is. Write it like that and you&rsquo;ll have no problems. Just remember to use the proper stroke order: Each of the two lower arms must be drawn from left to right.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_yo.png"">"	katakana gojuon seion y_series
ラ	[sound:7biey7947yx7iz074op63ck7x_ra.mp3]	ra		"This character is simply a <i>fu</i> with a line on top, but since <i>fu</i> and <i>ra</i> should take up the same vertical space, you&rsquo;ll need to compress the <i>fu</i> part a bit."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ra.png"">"	katakana gojuon seion r_series
リ	[sound:7biey7947yx7iz074op63ck7x_ri.mp3]	ri		"Notice that with the katakana version of <i>ri</i>, there is no <i>hane</i> at the end of stroke one."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ri.png"">"	katakana gojuon seion r_series
ル	[sound:7biey7947yx7iz074op63ck7x_ru.mp3]	ru		The end of stroke two in <i>ru</i> is nothing more than a glorified <i>hane</i>. Flick the pencil up like you&rsquo;re making a check mark and it&rsquo;ll look perfect.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ru.png"">"	katakana gojuon seion r_series
レ	[sound:7biey7947yx7iz074op63ck7x_re.mp3]	re		The end of this character is a super-glorified <i>hane</i>.	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_re.png"">"	katakana gojuon seion r_series
ロ	[sound:7biey7947yx7iz074op63ck7x_ro.mp3]	ro		"Be sure to note that the path marked by the red arrow here is actually one large stroke. It&rsquo;s important to write this character correctly, using three strokes, not four."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_ro.png"">"	katakana gojuon seion r_series
ワ	[sound:7biey7947yx7iz074op63ck7x_wa.mp3]	wa		"<i>Wa</i> is the same as <i>u</i>, only without the line on top."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_wa.png"">"	katakana gojuon seion w_series
ヲ	[sound:7biey7947yx7iz074op63ck7x_(w)o.mp3]	(w)o	1			katakana gojuon seion w_series
ン	[sound:7biey7947yx7iz074op63ck7x_n.mp3]	n		"In order to keep this character distinct from the very similar looking <i>so</i>, be sure that you draw the second stroke up from the bottom, and point it slightly lower than a 45-degree angle."	"<img src=""7biey7947yx7iz074op63ck7x_tips_katakana_n.png"">"	katakana gojuon seion w_series
ガ	[sound:7biey7947yx7iz074op63ck7x_ga.mp3]	ga				katakana dakuon k_series g_series
ギ	[sound:7biey7947yx7iz074op63ck7x_gi.mp3]	gi				katakana dakuon k_series g_series
グ	[sound:7biey7947yx7iz074op63ck7x_gu.mp3]	gu				katakana dakuon k_series g_series
ゲ	[sound:7biey7947yx7iz074op63ck7x_ge.mp3]	ge				katakana dakuon k_series g_series
ゴ	[sound:7biey7947yx7iz074op63ck7x_go.mp3]	go				katakana dakuon k_series g_series
ザ	[sound:7biey7947yx7iz074op63ck7x_za.mp3]	za				katakana dakuon s_series z_series
ジ	[sound:7biey7947yx7iz074op63ck7x_ji.mp3]	ji	1			katakana dakuon s_series z_series j_series
ズ	[sound:7biey7947yx7iz074op63ck7x_zu.mp3]	zu	1			katakana dakuon s_series z_series
ゼ	[sound:7biey7947yx7iz074op63ck7x_ze.mp3]	ze				katakana dakuon s_series z_series
ゾ	[sound:7biey7947yx7iz074op63ck7x_zo.mp3]	zo				katakana dakuon s_series z_series
ダ	[sound:7biey7947yx7iz074op63ck7x_da.mp3]	da				katakana dakuon t_series d_series
ヂ	[sound:7biey7947yx7iz074op63ck7x_(d)ji.mp3]	(d)ji	1			katakana dakuon t_series d_series
ヅ	[sound:7biey7947yx7iz074op63ck7x_(d)zu.mp3]	(d)zu	1			katakana dakuon t_series d_series
デ	[sound:7biey7947yx7iz074op63ck7x_de.mp3]	de				katakana dakuon t_series d_series
ド	[sound:7biey7947yx7iz074op63ck7x_do.mp3]	do				katakana dakuon t_series d_series
バ	[sound:7biey7947yx7iz074op63ck7x_ba.mp3]	ba				katakana dakuon h_series b_series
ビ	[sound:7biey7947yx7iz074op63ck7x_bi.mp3]	bi				katakana dakuon h_series b_series
ブ	[sound:7biey7947yx7iz074op63ck7x_bu.mp3]	bu				katakana dakuon h_series b_series
ベ	[sound:7biey7947yx7iz074op63ck7x_be.mp3]	be				katakana dakuon h_series b_series
ボ	[sound:7biey7947yx7iz074op63ck7x_bo.mp3]	bo				katakana dakuon h_series b_series
パ	[sound:7biey7947yx7iz074op63ck7x_pa.mp3]	pa				katakana dakuon handakuon h_series p_series
ピ	[sound:7biey7947yx7iz074op63ck7x_pi.mp3]	pi				katakana dakuon handakuon h_series p_series
プ	[sound:7biey7947yx7iz074op63ck7x_pu.mp3]	pu				katakana dakuon handakuon h_series p_series
ペ	[sound:7biey7947yx7iz074op63ck7x_pe.mp3]	pe				katakana dakuon handakuon h_series p_series
ポ	[sound:7biey7947yx7iz074op63ck7x_po.mp3]	po				katakana dakuon handakuon h_series p_series
キャ	[sound:7biey7947yx7iz074op63ck7x_kya.mp3]	kya				katakana yoon k_series ky_series
キュ	[sound:7biey7947yx7iz074op63ck7x_kyu.mp3]	kyu				katakana yoon k_series ky_series
キョ	[sound:7biey7947yx7iz074op63ck7x_kyo.mp3]	kyo				katakana yoon k_series ky_series
シャ	[sound:7biey7947yx7iz074op63ck7x_sha.mp3]	sha				katakana yoon s_series sh_series
シュ	[sound:7biey7947yx7iz074op63ck7x_shu.mp3]	shu				katakana yoon s_series sh_series
ショ	[sound:7biey7947yx7iz074op63ck7x_sho.mp3]	sho				katakana yoon s_series sh_series
チャ	[sound:7biey7947yx7iz074op63ck7x_cha.mp3]	cha				katakana yoon t_series ch_series
チュ	[sound:7biey7947yx7iz074op63ck7x_chu.mp3]	chu				katakana yoon t_series ch_series
チョ	[sound:7biey7947yx7iz074op63ck7x_cho.mp3]	cho				katakana yoon t_series ch_series
ニャ	[sound:7biey7947yx7iz074op63ck7x_nya.mp3]	nya				katakana yoon n_series ny_series
ニュ	[sound:7biey7947yx7iz074op63ck7x_nyu.mp3]	nyu				katakana yoon n_series ny_series
ニョ	[sound:7biey7947yx7iz074op63ck7x_nyo.mp3]	nyo				katakana yoon n_series ny_series
ヒャ	[sound:7biey7947yx7iz074op63ck7x_hya.mp3]	hya				katakana yoon h_series hy_series
ヒュ	[sound:7biey7947yx7iz074op63ck7x_hyu.mp3]	hyu				katakana yoon h_series hy_series
ヒョ	[sound:7biey7947yx7iz074op63ck7x_hyo.mp3]	hyo				katakana yoon h_series hy_series
ミャ	[sound:7biey7947yx7iz074op63ck7x_mya.mp3]	mya				katakana yoon m_series my_series
ミュ	[sound:7biey7947yx7iz074op63ck7x_myu.mp3]	myu				katakana yoon m_series my_series
ミョ	[sound:7biey7947yx7iz074op63ck7x_myo.mp3]	myo				katakana yoon m_series my_series
リャ	[sound:7biey7947yx7iz074op63ck7x_rya.mp3]	rya				katakana yoon r_series ry_series
リュ	[sound:7biey7947yx7iz074op63ck7x_ryu.mp3]	ryu	1			katakana yoon r_series ry_series
リョ	[sound:7biey7947yx7iz074op63ck7x_ryo.mp3]	ryo				katakana yoon r_series ry_series
ギャ	[sound:7biey7947yx7iz074op63ck7x_gya.mp3]	gya				katakana yoon_dakuon k_series ky_series g_series gy_series
ギュ	[sound:7biey7947yx7iz074op63ck7x_gyu.mp3]	gyu				katakana yoon_dakuon k_series ky_series g_series gy_series
ギョ	[sound:7biey7947yx7iz074op63ck7x_gyo.mp3]	gyo				katakana yoon_dakuon k_series ky_series g_series gy_series
ジャ	[sound:7biey7947yx7iz074op63ck7x_ja.mp3]	ja	1			katakana yoon_dakuon s_series sh_series j_series
ジュ	[sound:7biey7947yx7iz074op63ck7x_ju.mp3]	ju	1			katakana yoon_dakuon s_series sh_series j_series
ジョ	[sound:7biey7947yx7iz074op63ck7x_jo.mp3]	jo	1			katakana yoon_dakuon s_series sh_series j_series
ヂャ	[sound:7biey7947yx7iz074op63ck7x_(d)ja.mp3]	(d)ja	1			katakana yoon_dakuon t_series ch_series j_series
ヂュ	[sound:7biey7947yx7iz074op63ck7x_(d)ju.mp3]	(d)ju	1			katakana yoon_dakuon t_series ch_series j_series
ヂョ	[sound:7biey7947yx7iz074op63ck7x_(d)jo.mp3]	(d)jo	1			katakana yoon_dakuon t_series ch_series j_series
ビャ	[sound:7biey7947yx7iz074op63ck7x_bya.mp3]	bya				katakana yoon_dakuon h_series hy_series b_series by_series
ビュ	[sound:7biey7947yx7iz074op63ck7x_byu.mp3]	byu				katakana yoon_dakuon h_series hy_series b_series by_series
ビョ	[sound:7biey7947yx7iz074op63ck7x_byo.mp3]	byo				katakana yoon_dakuon h_series hy_series b_series by_series
ピャ	[sound:7biey7947yx7iz074op63ck7x_pya.mp3]	pya				katakana yoon_dakuon yoon_handakuon h_series hy_series p_series py_series
ピュ	[sound:7biey7947yx7iz074op63ck7x_pyu.mp3]	pyu				katakana yoon_dakuon yoon_handakuon h_series hy_series p_series py_series
ピョ	[sound:7biey7947yx7iz074op63ck7x_pyo.mp3]	pyo				katakana yoon_dakuon yoon_handakuon h_series hy_series p_series py_series
イィ		yi	1			katakana special foreign gojuon_sp seion_sp a_series_sp y_series_x
イェ		ye	1			katakana special foreign gojuon_sp seion_sp a_series_sp y_series_x
ウィ		wi	1			katakana special foreign gojuon_sp seion_sp a_series_sp w_series_x
ウェ		we	1			katakana special foreign gojuon_sp seion_sp a_series_sp w_series_x
ウォ		wo	1			katakana special foreign gojuon_sp seion_sp a_series_sp w_series_x
ヴァ	[sound:7biey7947yx7iz074op63ck7x_va.mp3]	va	1			katakana special foreign dakuon_sp a_series_sp v_series v_series_x
ヴィ	[sound:7biey7947yx7iz074op63ck7x_vi.mp3]	vi	1			katakana special foreign dakuon_sp a_series_sp v_series v_series_x
ヴ		vu	1			katakana special foreign dakuon_sp a_series_sp v_series v_series_x
ヴェ	[sound:7biey7947yx7iz074op63ck7x_ve.mp3]	ve	1			katakana special foreign dakuon_sp a_series_sp v_series v_series_x
ヴォ	[sound:7biey7947yx7iz074op63ck7x_vo.mp3]	vo	1			katakana special foreign dakuon_sp a_series_sp v_series v_series_x
シェ		she	1			katakana special foreign gojuon_sp seion_sp s_series_sp s_series_x sh_series_sp sh_series_x
ジェ	[sound:7biey7947yx7iz074op63ck7x_je.mp3]	je	1			katakana special foreign dakuon_sp s_series_sp s_series_x sh_series_sp sh_series_x j_series_sp j_series_x
チェ		che	1			katakana special foreign gojuon_sp seion_sp t_series_sp t_series_x ch_series_sp ch_series_x
ティ	[sound:7biey7947yx7iz074op63ck7x_ti.mp3]	ti	1			katakana special foreign gojuon_sp seion_sp t_series_sp t_series_x
トゥ	[sound:7biey7947yx7iz074op63ck7x_tu.mp3]	tu	1			katakana special foreign gojuon_sp seion_sp t_series_sp t_series_x
ディ	[sound:7biey7947yx7iz074op63ck7x_di.mp3]	di	1			katakana special foreign dakuon_sp t_series_sp t_series_x d_series_sp d_series_x
ドゥ	[sound:7biey7947yx7iz074op63ck7x_du.mp3]	du	1			katakana special foreign dakuon_sp t_series_sp t_series_x d_series_sp d_series_x
ツァ	[sound:7biey7947yx7iz074op63ck7x_tsa.mp3]	tsa	1			katakana special foreign gojuon_sp seion_sp t_series_sp t_series_x ts_series_sp ts_series_x
ツィ		tsi	1			katakana special foreign gojuon_sp seion_sp t_series_sp t_series_x ts_series_sp ts_series_x
ツェ	[sound:7biey7947yx7iz074op63ck7x_tse.mp3]	tse	1			katakana special foreign gojuon_sp seion_sp t_series_sp t_series_x ts_series_sp ts_series_x
ツォ	[sound:7biey7947yx7iz074op63ck7x_tso.mp3]	tso	1			katakana special foreign gojuon_sp seion_sp t_series_sp t_series_x ts_series_sp ts_series_x
ファ	[sound:7biey7947yx7iz074op63ck7x_fa.mp3]	fa	1			katakana special foreign gojuon_sp seion_sp h_series_sp f_series_sp f_series_x
フィ	[sound:7biey7947yx7iz074op63ck7x_fi.mp3]	fi	1			katakana special foreign gojuon_sp seion_sp h_series_sp f_series_sp f_series_x
フェ	[sound:7biey7947yx7iz074op63ck7x_fe.mp3]	fe	1			katakana special foreign gojuon_sp seion_sp h_series_sp f_series_sp f_series_x
フォ	[sound:7biey7947yx7iz074op63ck7x_fo.mp3]	fo	1			katakana special foreign gojuon_sp seion_sp h_series_sp f_series_sp f_series_x
ヴャ		vya	1			katakana special foreign yoon_dakuon_sp a_series_sp v_series v_series_x vy_series vy_series_x
ヴュ		vyu	1			katakana special foreign yoon_dakuon_sp a_series_sp v_series v_series_x vy_series vy_series_x
ヴョ		vyo	1			katakana special foreign yoon_dakuon_sp a_series_sp v_series v_series_x vy_series vy_series_x
テュ		tyu	1			katakana special foreign yoon_sp t_series_sp ty_series ty_series_x
デュ	[sound:7biey7947yx7iz074op63ck7x_dyu.mp3]	dyu (foreign/loan sound)	1			katakana special foreign yoon_dakuon_sp t_series_sp ty_series ty_series_x
フュ		fyu	1			katakana special foreign yoon_dakuon_sp f_series_sp f_series_x fy_series fy_series_x
スァ		swa	1			katakana special foreign gojuon_sp seion_sp s_series_sp sw_series sw_series_x
スィ		"swi, Si"	1			katakana special foreign gojuon_sp seion_sp s_series_sp s_series_x sw_series sw_series_x
スゥ		swu	1			katakana special foreign gojuon_sp seion_sp s_series_sp sw_series sw_series_x
スェ		swe	1			katakana special foreign gojuon_sp seion_sp s_series_sp sw_series sw_series_x
スォ		swo	1			katakana special foreign gojuon_sp seion_sp s_series_sp sw_series sw_series_x
ズァ		zwa	1			katakana special foreign dakuon_sp s_series_sp zw_series zw_series_x
ズィ		"zwi, zi"	1			katakana special foreign dakuon_sp s_series_sp z_series_x zw_series zw_series_x
ズゥ		zwu	1			katakana special foreign dakuon_sp s_series_sp zw_series zw_series_x
ズェ		zwe	1			katakana special foreign dakuon_sp s_series_sp zw_series zw_series_x
ズォ		zwo	1			katakana special foreign dakuon_sp s_series_sp zw_series zw_series_x
